Employee _ID,Name,Department,Job _Role,Performance _Score,KPI _Score,Attendance ,Peer _Rating,Task_ Completion ,Work _Hours _Logged,Manager _Feedback,Training _Hours,Promotion _Eligibility
814101,Divyansh Kaur,Marketing,SEO Specialist,85,70.61,78.81,4.7,92.78,51,3.6,10,No
381345,Abram Mane,Finance,Accountant,73,92.29,93.66,3.9,81.26,38,3.8,27,No
295113,Gatik Guha,Marketing,Content Strategist,86,62.94,86,4.1,93.43,52,4.9,8,Yes
414900,Dharmajan Kalita,HR,Recruitment Specialist,96,69.58,92.53,4.9,93.79,41,4.6,2,Yes
933548,Riya Dani,Marketing,Marketing Executive,74,94.91,91.43,4.7,73.81,54,4,9,No
218595,Nitara Sarma,Marketing,Marketing Executive,84,91.62,85.68,4.4,78.13,48,4,29,No
384248,Kimaya Ghosh,IT,Software Engineer,89,61.94,82.49,3.2,95.06,44,3.5,16,No
501422,Purab Bhargava,Finance,Auditor,86,78.38,92.79,4.1,76.69,46,4.4,16,Yes
403338,Manikya Wable,Sales,Account Manager,55,74.28,95.73,4.4,76.67,49,3.9,3,No
850100,Adah Solanki,Finance,Accountant,73,92.89,91.11,4.2,96.42,38,4.8,29,No
522109,Purab Chhabra,Sales,Business Development,66,87.5,83.23,3.3,99.73,36,4,10,No
709198,Samar Raju,Finance,Accountant,99,62.15,97.44,3.1,73.27,46,4.2,4,Yes
829551,Ojas Kannan,Sales,Sales Executive,79,90.67,99.21,5,96.12,49,4.8,0,No
480394,Sara Vala,HR,Employee Relations,80,75.41,84.97,4.7,71.11,41,3.9,18,No
941122,Hrishita Bala,Finance,Financial Analyst,71,68.2,95.9,4.5,72.63,49,3.1,26,No
296812,Inaaya  Kurian,Sales,Business Development,57,73.85,95.95,4.1,73.03,55,4.1,7,No
706124,Akarsh De,Finance,Accountant,77,85.94,96.56,4.6,77.14,50,4.1,10,No
297819,Jivika Sant,Finance,Accountant,75,93.96,95.16,3.2,72.88,45,3.5,14,No
165053,Ivana Viswanathan,HR,HR Manager,95,87.78,98.1,4.2,91.24,45,3.9,6,No
398012,Adah Sarraf,Marketing,Content Strategist,98,77.83,90.06,3.8,70.22,41,4.9,18,Yes
555457,Veer Kumar,IT,Cybersecurity Specialist,59,70.8,92.99,4.9,95.76,37,4.4,28,No
177315,Aayush Kibe,HR,HR Manager,91,88.79,99.39,4,88.02,47,5,1,Yes
401685,Miraya Dayal,Sales,Account Manager,60,71.84,99.47,3.7,76.83,50,4.4,1,No
363762,Stuvan Verma,HR,HR Manager,91,62.38,92.08,3.1,93.77,42,4.7,23,Yes
488108,Vihaan Varghese,HR,Employee Relations,86,75.24,89.7,3.9,94.16,37,4.5,8,Yes
399562,Lagan Bajwa,Sales,Sales Executive,72,74.95,86.63,3,88.1,50,3.3,22,No
808996,Aradhya Chaudhuri,HR,Employee Relations,77,73.91,90.22,3.6,77.5,37,4.4,12,No
402302,Divit Rajagopal,Marketing,SEO Specialist,66,84.67,79.1,3.8,71.76,43,3.8,6,No
879751,Alia Balasubramanian,Sales,Business Development,67,84.77,98.68,3.3,93.06,37,4.4,24,No
308048,Dhruv Babu,HR,Recruitment Specialist,91,90.55,79.89,4.4,84.26,40,4.5,24,Yes
786418,Aayush Dar,IT,Cybersecurity Specialist,70,70.15,81.4,4.3,71.92,48,3.1,15,No
882537,Nayantara Edwin,Finance,Financial Analyst,74,84.51,82.61,3.7,99.65,38,4,18,No
235703,Rasha Kothari,IT,Software Engineer,77,92.74,82.77,5,94.58,55,3.7,28,No
859541,Mohanlal Kunda,Sales,Account Manager,67,71.01,80.16,3,79.62,51,3.1,8,No
197224,Misha Bhargava,HR,HR Manager,70,61.26,99.12,3.7,94.03,51,3.9,0,No
511364,Ishita Varma,Sales,Business Development,55,65.55,85.32,4.4,83.68,53,4.2,6,No
118799,Amani Gill,Finance,Accountant,98,86.44,97.96,4.4,70.79,36,3.4,28,No
674778,Nayantara Bir,Sales,Account Manager,55,92.89,83,4.2,77.92,54,3.3,23,No
418635,Rhea Gole,IT,Software Engineer,70,61.26,85.76,3.9,80.92,41,4.2,4,No
936670,Krish Bali,IT,Data Analyst,52,86.9,88.68,4.1,88.65,48,3.5,10,No
726742,Nitya Mangal,IT,Software Engineer,92,72.41,77.62,3.3,92.52,41,3.8,10,No
936736,Hrishita Tank,Finance,Accountant,62,65.11,88.21,4.3,75.91,52,4.6,0,No
581644,Ivana Chandra,Sales,Sales Executive,56,76.23,98.59,4.9,76.37,51,5,28,No
510131,Ishaan Biswas,Marketing,Marketing Executive,52,66.53,90.69,4.2,90.86,48,4.8,15,No
294626,Miraan Bali,Finance,Accountant,93,78.19,90.77,3.7,76.85,48,4.7,15,Yes
573387,Taran Jha,IT,Cybersecurity Specialist,88,61.65,79.11,4.8,70.84,48,4.4,10,Yes
784768,Anika Salvi,Marketing,Marketing Executive,74,84.7,83.71,3.9,90.73,35,4.4,18,No
134108,Kaira Sanghvi,Finance,Auditor,96,78.7,79.53,4.9,81.63,39,4.4,10,Yes
174649,Chirag Vasa,Sales,Sales Executive,83,74.01,81.97,3.4,86.9,38,3.5,8,No
689338,Pihu Chaudhuri,IT,Software Engineer,65,81.27,92.81,4.4,82.43,46,4.7,17,No
523061,Anika Sarna,Sales,Sales Executive,86,91.18,76.6,4.2,79.81,38,5,1,Yes
901936,Anaya Sodhi,Marketing,Content Strategist,68,92.45,91.79,3.9,78.59,48,3.4,13,No
300537,Gatik Chakrabarti,Finance,Financial Analyst,74,82.98,99.96,3.8,97.7,54,3.3,4,No
569817,Saira Dara,HR,HR Manager,68,87.95,78.03,4.5,73.83,40,4.6,29,No
489553,Amira Kumer,IT,Data Analyst,83,62.79,96.12,4,76.85,40,4.6,12,No
995986,Shalv Buch,Finance,Financial Analyst,78,60.26,85.88,3.6,94.01,36,4.9,0,No
370437,Amira Barad,HR,Recruitment Specialist,69,74.55,84.15,4,73.53,50,3.4,22,No
641341,Vaibhav Ram,HR,Employee Relations,61,70.9,93.47,3.4,95.23,46,4.9,27,No
686344,Dhanush Dutta,IT,Cybersecurity Specialist,100,93.21,97.8,3.9,81.52,46,4.4,16,Yes
476946,Aayush Johal,HR,HR Manager,74,66.95,98.45,3.5,73.94,44,4.8,21,No
642417,Farhan Agarwal,Sales,Sales Executive,55,70.8,77.84,4.8,87.54,48,4.5,28,No
455338,Ira Mani,Finance,Accountant,58,65.24,81.69,3.8,79.55,46,4.5,21,No
492243,Bhavin Gandhi,Sales,Sales Executive,59,93,86.3,3.8,80.47,55,3.7,4,No
135842,Anahi Sehgal,Finance,Accountant,50,78.98,88.34,4.9,96.02,49,3.3,15,No
356703,Anvi Johal,IT,Software Engineer,88,62.02,82.73,4.5,83.98,39,4.6,2,Yes
118920,Vedika Dara,HR,Recruitment Specialist,77,85.98,77.34,5,91.68,46,4,0,No
105561,Tara Bal,Finance,Auditor,76,75.39,94.04,4.2,75.46,51,3.1,19,No
425760,Navya Solanki,HR,Recruitment Specialist,68,80.11,86.73,3.9,90.48,41,4.8,5,No
397069,Hansh Lanka,Finance,Auditor,100,80.29,94.48,3.9,93.66,55,4.3,22,Yes
150406,Ojas Issac,Sales,Account Manager,53,82.4,89.21,3.3,93.84,54,4.2,7,No
774763,Jhanvi Mahal,Sales,Sales Executive,87,75.97,83.78,3.1,87.26,46,3.7,9,No
714313,Neelofar Cheema,Finance,Accountant,84,61.43,96.86,3.1,75.16,37,4.4,5,No
991564,Umang Bath,Finance,Auditor,81,91.37,89.07,4,89.4,48,3.9,20,No
274295,Chirag Jhaveri,IT,Cybersecurity Specialist,76,76.35,85.76,4.8,85.23,43,4.5,1,No
439231,Rasha Buch,HR,Employee Relations,77,73.63,86.19,3.9,78.49,37,3.6,16,No
869777,Nishith Dara,IT,Cybersecurity Specialist,52,84.92,81.84,4.3,84,46,4.3,7,No
645354,Bhavin Singhal,Marketing,Marketing Executive,70,75.89,84.86,3.9,97.51,51,3.4,11,No
441767,Pihu Soman,HR,HR Manager,84,87.54,80.8,4.5,89.24,47,3.7,6,No
139995,Elakshi Sant,IT,Data Analyst,78,68.09,76.99,3.2,77.48,43,4.4,8,No
154629,Ahana  Kanda,Sales,Business Development,50,76.79,95.84,4.8,89.64,53,3.5,9,No
518607,Jayesh Bala,HR,Employee Relations,72,70.47,84.32,4.7,98.73,51,3.7,28,No
228875,Ela Ghose,Sales,Sales Executive,50,79.26,92.74,4.2,99.48,37,4.9,3,No
440728,Hansh Badal,Finance,Accountant,91,74.97,82.44,4.9,82.18,44,3.1,3,No
814503,Mehul Maharaj,Marketing,Content Strategist,100,74.32,95,4.2,76.51,55,4,1,No
207810,Ayesha Dugal,Marketing,Content Strategist,74,70.93,81.05,3.5,92.34,50,3.7,1,No
671113,Vaibhav Banik,IT,Data Analyst,57,86.05,87.22,3.3,73.3,53,3.9,27,No
322000,Mamooty Kalita,Sales,Business Development,82,65.11,93.76,4.1,94.66,55,4.9,14,No
939507,Ahana  Kapadia,IT,Cybersecurity Specialist,75,87.45,87,3.9,98.72,38,4,30,No
851852,Charvi Goyal,HR,Recruitment Specialist,55,91.12,99.86,3.9,86.13,38,3.4,25,No
708380,Aarush Rau,HR,HR Manager,58,74.11,92.12,4.7,85.23,49,3.5,11,No
911947,Aaina Bath,Finance,Accountant,90,75.12,92.11,4.1,72.44,39,4.9,24,Yes
706670,Fateh Master,Sales,Account Manager,60,61.9,89.02,4.9,94.18,46,4.7,23,No
902256,Vivaan Savant,IT,Software Engineer,100,76.01,77.34,4.9,82.52,46,4.5,14,Yes
794499,Gatik Ramesh,Finance,Financial Analyst,64,86.28,96.12,4,80.18,35,4.1,23,No
106054,Divyansh Taneja,Sales,Business Development,71,65.37,80.68,3.9,98.37,46,4.2,2,No
451785,Fateh Chauhan,Finance,Auditor,95,81,87.11,4.4,70.09,43,3.7,16,No
266584,Nirvaan Shan,HR,Employee Relations,70,62.89,79.18,3.3,94.31,55,4.1,3,No
625909,Miraya Sastry,Finance,Financial Analyst,74,84.19,83.06,3.8,85.99,38,3.9,22,No
257068,Adah Kumer,Marketing,Content Strategist,61,85.39,81.39,4.3,91.99,42,3.7,12,No
614013,Darshit Kanda,Finance,Accountant,78,79.94,77.57,4,91.28,53,3.2,12,No
961711,Priyansh Sabharwal,Sales,Business Development,78,67.37,77.56,3.3,96.98,47,3.4,8,No
149976,Jayant Krish,Marketing,SEO Specialist,94,89.9,94.62,4.6,79.69,46,4.6,25,Yes
793928,Indrans Luthra,Marketing,Marketing Executive,74,80.06,82.16,4.7,90.64,50,4.1,2,No
149508,Badal Dâ€™Alia,Marketing,SEO Specialist,61,94.29,96.61,4.3,84.12,37,3.8,4,No
228972,Alisha Maharaj,Sales,Account Manager,81,79.43,97.97,4.3,78.47,43,4,13,No
363615,Riaan Dutta,Finance,Auditor,52,65.82,88.38,3.3,71.97,41,3.4,7,No
950003,Mehul Chaudry,HR,Employee Relations,62,63.61,99.6,3.6,74.46,49,4,3,No
308395,Lakshay Chada,HR,Recruitment Specialist,76,82.21,75.3,4.6,77.43,38,3.7,1,No
538353,Kashvi Bumb,IT,Software Engineer,57,60.09,98.14,5,95.6,50,3.2,21,No
106528,Suhana Gour,IT,Cybersecurity Specialist,66,89.78,98.55,4.6,96.44,44,4.5,26,No
642778,Jivika Karan,IT,Software Engineer,69,89.93,82.56,4.9,97.05,54,4.1,0,No
794296,Pari Gola,Finance,Financial Analyst,61,66.56,85.89,4.3,99.75,53,3.3,18,No
158214,Zain Banerjee,Marketing,Marketing Executive,87,65.39,95.04,4.6,93.22,51,4.5,16,Yes
945273,Vardaniya Dey,Sales,Sales Executive,59,70.92,82.95,4.6,88.65,42,4.5,5,No
216921,Kismat Kant,HR,Employee Relations,81,81.49,88.19,3.8,77.48,48,3.4,9,No
812942,Kashvi Ahuja,Finance,Accountant,77,72.56,86.28,5,73.47,35,3.3,5,No
383779,Hrishita Guha,Finance,Financial Analyst,77,85.41,96.32,3.4,79.38,40,3.4,0,No
947172,Ritvik Kar,IT,Software Engineer,68,90.72,78.87,4.3,74.82,48,3.5,14,No
360465,Kartik Randhawa,HR,Recruitment Specialist,80,90.9,79.01,4.2,92.52,37,4,4,No
982370,Aaina Chauhan,IT,Software Engineer,93,71.17,85.89,4.6,94.33,51,3.7,0,No
958725,Dhanuk Dutta,Finance,Accountant,92,61.93,89.57,3.4,80.95,37,3,13,No
288553,Fateh Yadav,Finance,Accountant,88,60.06,88.87,4.1,99.9,53,3.8,11,No
955218,Madhup Grover,HR,Employee Relations,52,67.48,99.94,3.8,81.24,38,4.7,7,No
542988,Anika Rout,Sales,Account Manager,72,61,85.17,4.4,76.67,55,3.9,30,No
276037,Nehmat Sarraf,IT,Cybersecurity Specialist,70,64.87,96.29,4.1,72.16,43,4.7,0,No
451093,Divij Dhar,Finance,Financial Analyst,75,64.56,79.04,4.9,75.51,47,3.5,26,No
994891,Rania Kapadia,Sales,Sales Executive,99,74.47,93.27,3.5,89.08,55,4.1,18,Yes
761004,Himmat Walla,Marketing,Content Strategist,53,65.51,75.84,3.4,70.65,52,3.9,30,No
267354,Divyansh Mane,Marketing,Content Strategist,81,88.09,96.21,5,70.4,36,4,2,No
214673,Sahil Sodhi,Marketing,SEO Specialist,66,86.75,81.42,4.4,91.19,44,3.1,21,No
803478,Ahana  Bala,Marketing,SEO Specialist,65,74.19,96.86,4.8,77.15,43,3.6,24,No
103367,Onkar Bedi,Marketing,SEO Specialist,92,79.7,91.54,4.8,91.91,35,3.7,30,No
964426,Kanav Mammen,Sales,Sales Executive,84,68.25,84.86,3.5,78.2,51,5,0,No
487792,Veer Mannan,Marketing,Marketing Executive,81,91.98,98.62,4.6,78.97,35,3.9,16,No
